50:0f:80:fd:7f:b0
"190.09,190.09"
"290.69,290.69"
"171.8,171.8"
"279.98,279.98"
"175.29,175.29"
"121.95,121.95"
"126.92,126.92"
"134.61,134.61"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"86.52,86.52"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
50:0f:80:fd:7f:b1
"237.62,237.62"
"180.88,180.88"
"93.17,93.17"
"0.0,0.0"
"0.0,0.0"
"26.32,26.32"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"90.29,90.29"
"148.93,148.93"
"0.0,0.0"
"0.0,0.0"
"94.01,94.01"
"0.0,0.0"
38:90:a5:00:09:42
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"38.74,38.74"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"63.05,63.05"
"150.36,150.36"
"129.11,129.11"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
50:0f:80:ee:6d:50
"0.0,0.0"
"0.0,0.0"
"96.89,96.89"
"93.15,93.15"
"165.32,165.32"
"58.65,58.65"
"101.28,101.28"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"28.12,28.12"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
38:90:a5:91:7f:82
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"54.38,54.38"
50:0f:80:e3:73:f2
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"64.15,64.15"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
50:0f:80:d8:f4:20
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"112.93,112.93"
"0.0,0.0"
"0.0,0.0"
"36.44,36.44"
"0.0,0.0"
"0.0,0.0"
50:0f:80:e3:7a:f1
"65.05,65.05"
"34.0,34.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"98.08,98.08"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
50:0f:80:fd:84:e1
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"81.36,81.36"
"0.0,0.0"
38:90:a5:37:40:80
"0.0,0.0"
"88.66,88.66"
"129.77,129.77"
"213.59,213.59"
"100.57,100.57"
"235.26,235.26"
"177.23,177.23"
"297.34,297.34"
"327.2,327.2"
"219.44,219.44"
"177.67,177.67"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"70.79,70.79"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
38:90:a5:06:ab:60
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"48.97,48.97"
"0.0,0.0"
"0.0,0.0"
50:0f:80:e3:73:f1
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"60.06,60.06"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
38:90:a5:37:42:d1
"43.1,43.1"
"82.19,82.19"
"138.58,138.58"
"189.34,189.34"
"290.24,290.24"
"172.25,172.25"
"280.19,280.19"
"175.05,175.05"
"121.92,121.92"
"128.87,128.87"
"134.85,134.85"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"85.71,85.71"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
50:0f:80:d8:ee:00
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"104.03,104.03"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
38:90:a5:8f:e7:d1
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"28.21,28.21"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"40.55,40.55"
"72.74,72.74"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"27.47,27.47"
"0.0,0.0"
"144.33,144.33"
50:0f:80:d8:f3:71
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"123.32,123.32"
"93.56,93.56"
"122.87,122.87"
"108.39,108.39"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
50:0f:80:c4:60:02
"86.35,86.35"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"110.99,110.99"
"156.78,156.78"
"129.58,129.58"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
50:0f:80:d8:f4:22
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"80.34,80.34"
"0.0,0.0"
"111.58,111.58"
"0.0,0.0"
"0.0,0.0"
"43.03,43.03"
"0.0,0.0"
"36.3,36.3"
38:90:a5:20:f0:f2
"76.6,76.6"
"93.55,93.55"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
38:90:a5:20:e9:00
"220.33,220.33"
"307.71,307.71"
"299.87,299.87"
"229.81,229.81"
"185.5,185.5"
"203.45,203.45"
"108.81,108.81"
"107.53,107.53"
"94.53,94.53"
"173.35,173.35"
"61.1,61.1"
"0.0,0.0"
"149.54,149.54"
"201.54,201.54"
"0.0,0.0"
